Ciudad,Cantidades,Importe,Cliente,Provincia,Nombre,Pago,Producto,Transporte
Bahía Blanca,6,"$6.369,79 ",Dickinson,Provincia de Buenos Aires,Adrián Souto,60 días,Tuercas,Camion
Bahía Blanca,10,"$913,45 ",Dickinson,Provincia de Buenos Aires,Alberto García,60 días,Tuercas,Camion
Bahía Blanca,3,"$2.791,61 ",Dickinson,Provincia de Buenos Aires,Alejandro Del Olmo,60 días,Tuercas,Camion
Bahía Blanca,22,"$36.071,31 ",Dickinson,Provincia de Buenos Aires,Ana Aguilera,60 días,Tuercas,Camion
Bahía Blanca,63,"$1.577.932,94 ",Dickinson,Provincia de Buenos Aires,Ana María Delgado,60 días,Tuercas,Camion
Bahía Blanca,7,"$26.802,66 ",Dickinson,Provincia de Buenos Aires,Ana María Serrano,60 días,Tuercas,Camion
Bahía Blanca,76,"$28.581,58 ",Dickinson,Provincia de Buenos Aires,Ángeles Pérez,60 días,Tuercas,Camion
Bahía Blanca,32,"$8.607,11 ",Dickinson,Provincia de Buenos Aires,Antonia Lorente,60 días,Tuercas,Camion
Bahía Blanca,15,"$2.427,35 ",Dickinson,Provincia de Buenos Aires,Antonia Martínez,60 días,Tuercas,Camion
Bahía Blanca,6,"$2.333,17 ",Dickinson,Provincia de Buenos Aires,Antonio Calderón,60 días,Tuercas,Camion
Bahía Blanca,18,"$43.246,80 ",Dickinson,Provincia de Buenos Aires,Begoña García,60 días,Tuercas,Camion
Bahía Blanca,4,"$28.796,25 ",Dickinson,Provincia de Buenos Aires,Carlos Arenas,60 días,Tuercas,Camion
Bahía Blanca,40,"$13.709,23 ",Dickinson,Provincia de Buenos Aires,Carmen Cortes,60 días,Tuercas,Camion
Bahía Blanca,7,"$5.963,68 ",Dickinson,Provincia de Buenos Aires,Carmen Diez,60 días,Tuercas,Camion
Bahía Blanca,17,"$24.946,77 ",Dickinson,Provincia de Buenos Aires,Carmen Sánchez,60 días,Tuercas,Camion
Bahía Blanca,14,"$13.916,09 ",Dickinson,Provincia de Buenos Aires,Cristina Rodríguez,60 días,Tuercas,Camion
Bahía Blanca,39,"$10.635,18 ",Dickinson,Provincia de Buenos Aires,Cristina Zamora,60 días,Tuercas,Camion
Bahía Blanca,95,"$14.448,65 ",Dickinson,Provincia de Buenos Aires,Daniel Pino,60 días,Tuercas,Camion
Bahía Blanca,3,"$548,47 ",Dickinson,Provincia de Buenos Aires,Elena Fernández,60 días,Tuercas,Camion
Bahía Blanca,5,"$723,23 ",Dickinson,Provincia de Buenos Aires,Francisco Miñana,60 días,Tuercas,Camion
Bahía Blanca,79,"$51.090,44 ",Dickinson,Provincia de Buenos Aires,Jaume García,60 días,Tuercas,Camion
Bahía Blanca,4,"$9.847,88 ",Dickinson,Provincia de Buenos Aires,Joaquín Vega,60 días,Tuercas,Camion
Bahía Blanca,6,"$18.882,78 ",Dickinson,Provincia de Buenos Aires,José Antonio López,60 días,Tuercas,Camion
Bahía Blanca,20,"$33.867,74 ",Dickinson,Provincia de Buenos Aires,José Carretero,60 días,Tuercas,Camion
Bahía Blanca,33,"$61.637,23 ",Dickinson,Provincia de Buenos Aires,José María Pérez,60 días,Tuercas,Camion
Bahía Blanca,36,"$33.900,03 ",Dickinson,Provincia de Buenos Aires,José Salcedo,60 días,Tuercas,Camion
Bahía Blanca,8,"$5.771,48 ",Dickinson,Provincia de Buenos Aires,José Sola,60 días,Tuercas,Camion
Bahía Blanca,17,"$35.952,31 ",Dickinson,Provincia de Buenos Aires,Juan Andrés,60 días,Tuercas,Camion
Bahía Blanca,55,"$5.006,65 ",Dickinson,Provincia de Buenos Aires,Manuel Grande,60 días,Tuercas,Camion
Bahía Blanca,31,"$39.433,66 ",Dickinson,Provincia de Buenos Aires,Manuel Muñoz,60 días,Tuercas,Camion
Bahía Blanca,39,"$16.941,28 ",Dickinson,Provincia de Buenos Aires,María Ángeles Alves,60 días,Tuercas,Camion
Bahía Blanca,63,"$26.467,15 ",Dickinson,Provincia de Buenos Aires,María Ángeles Martínez,60 días,Tuercas,Camion
Bahía Blanca,10,"$3.283,77 ",Dickinson,Provincia de Buenos Aires,María Ángeles Ruiz,60 días,Tuercas,Camion
Bahía Blanca,27,"$44.193,89 ",Dickinson,Provincia de Buenos Aires,María Carmen Serrano,60 días,Tuercas,Camion
